# All these have at least 10,000 occurrences.	
ad	ADULT
adulte	ADULT
adult female	ADULT
adult female - worker	ADULT
adult male	ADULT
adulto	ADULT
adult unsexed	ADULT
egg	
eggs	
fertile	ADULT
flor	
flor y fruto	
flower	
flower bud	
flowering	
flowering and fruiting	
fresh	
fruiting	
fruto	
full developed leaf	
fully developed leaf	
imago	
imago/adult	
immature	JUVENILE
in fruit	
juv	JUVENILE
juvenil	JUVENILE
juvinile	JUVENILE
larvae	LARVA
larve	LARVA
nestling	JUVENILE
ninfa	
nymph	
nymphe	
overblown	
pul	
pullus	
pupa | larva	
seed	
seedling	
smolt	
subadult	
t̻tard	LARVA
vegetative	
yearling	
young-adult	
